,rank,link,year,director,avg_rating,num_of_ratings,people_watched,people_wants_to_watch,num_comment,num_reviews,Chinese_title,movie_length,main_country_region,main_language
112,113,https://movie.douban.com/subject/1292208/,2002,卡迪亚·兰德,8.9,186715,244944,104039,32776,604,上帝之城,130,巴西,葡萄牙语
113,114,https://movie.douban.com/subject/1291585/,1984,宫崎骏,8.8,223550,306066,61037,27387,395,风之谷,117,日本,日语
114,115,https://movie.douban.com/subject/5322596/,2011,托尼·凯耶,8.8,229350,294054,185242,63688,1754,超脱,97,美国,英语
115,116,https://movie.douban.com/subject/1291990/,2004,理查德·林克莱特,8.8,253448,329859,169575,58264,1820,爱在日落黄昏时,80,美国,英语
116,117,https://movie.douban.com/subject/26799731/,2017,卢卡·瓜达尼诺,8.8,273481,321874,185915,97255,3375,请以你的名字呼唤我,132,意大利,英语
117,118,https://movie.douban.com/subject/2353023/,2010,迪恩·德布洛斯,8.7,375919,479906,61916,64193,793,驯龙高手,98,美国,英语
118,119,https://movie.douban.com/subject/1293359/,1999,北野武,8.8,247170,357840,174699,57887,1427,菊次郎的夏天,121,日本,日语
119,120,https://movie.douban.com/subject/1292274/,2004,史蒂文·斯皮尔伯格,8.7,281637,376642,86408,45349,971,幸福终点站,128,美国,英语
120,121,https://movie.douban.com/subject/3011235/,2011,大卫·叶茨,8.7,364248,496364,35628,76528,2012,哈利·波特与死亡圣器(下),130,美国,英语
121,122,https://movie.douban.com/subject/1300299/,2003,奉俊昊,8.7,269887,339040,95660,59073,1066,杀人回忆,130,韩国,韩语
122,123,https://movie.douban.com/subject/3287562/,2010,皮埃尔·柯芬,8.5,507982,670123,57318,82116,523,神偷奶爸,95,美国,英语
123,124,https://movie.douban.com/subject/25814707/,2015,森淳一,9.0,168564,219573,85455,39099,776,小森林,120,日本,日语
124,125,https://movie.douban.com/subject/4202302/,2010,米林宏昌,8.7,276289,356998,64462,57210,1029,借东西的小人阿莉埃蒂,94,日本,日语
125,126,https://movie.douban.com/subject/10777687/,2013,李焕庆,8.8,238489,318530,77552,56844,845,7号房的礼物,127,韩国,韩语
126,127,https://movie.douban.com/subject/1291579/,2001,彼特·道格特,8.6,322878,477915,61730,37364,276,怪兽电力公司,92,美国,英语
127,128,https://movie.douban.com/subject/3792799/,2010,罗启锐,8.6,366795,496532,108583,86579,2744,岁月神偷,117,香港,粤语
128,129,https://movie.douban.com/subject/1295399/,1954,黑泽明,9.2,99438,140111,92624,21003,506,七武士,160,日本,日语
129,130,https://movie.douban.com/subject/5989818/,2011,大森贵弘,8.8,222434,327722,107771,52435,813,萤火之森,45,日本,日语
130,131,https://movie.douban.com/subject/11026735/,2014,唐·霍尔,8.6,497405,618196,38607,113733,745,超能陆战队,102,美国,英语
131,132,https://movie.douban.com/subject/1306249/,1993,李力持,8.5,469659,730967,12877,42347,235,唐伯虎点秋香,102,香港,粤语
132,133,https://movie.douban.com/subject/1417598/,2004,温子仁,8.7,254432,341006,44745,44677,505,电锯惊魂,103,美国,英语
133,134,https://movie.douban.com/subject/1292401/,2003,理查德·柯蒂斯,8.5,398571,512546,134463,95860,1519,真爱至上,135,英国,英语
