rank,link,title,year,director,length,country_region,language,avg_rating,num_of_ratings,people_watched,people_wants_to_watch,num_comment,num_reviews
123,https://movie.douban.com/subject/3287562/,神偷奶爸 Despicable Me,2010,皮埃尔·柯芬,95,美国 / 法国,英语,8.5,507982,670123,57318,82116,523
124,https://movie.douban.com/subject/25814707/,小森林 冬春篇 リトル・フォレスト 冬・春,2015,森淳一,120,日本,日语,9.0,168564,219573,85455,39099,776
125,https://movie.douban.com/subject/4202302/,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,2010,米林宏昌,94,日本,日语,8.7,276289,356998,64462,57210,1029
126,https://movie.douban.com/subject/10777687/,7号房的礼物 7번방의 선물,2013,李焕庆,127,韩国,韩语,8.8,238489,318530,77552,56844,845
127,https://movie.douban.com/subject/1291579/,"怪兽电力公司 Monsters, Inc.",2001,彼特·道格特,92 ,美国,英语,8.6,322878,477915,61730,37364,276
128,https://movie.douban.com/subject/3792799/,岁月神偷 歲月神偷,2010,罗启锐,117,香港 / 中国大陆,粤语 / 汉语普通话 / 英语 / 上海话 / 法语,8.6,366795,496532,108583,86579,2744
129,https://movie.douban.com/subject/1295399/,七武士 七人の侍,1954,黑泽明,160分钟(国际,日本,日语,9.2,99438,140111,92624,21003,506
130,https://movie.douban.com/subject/5989818/,萤火之森 蛍火の杜へ,2011,大森贵弘,45,日本,日语,8.8,222434,327722,107771,52435,813
131,https://movie.douban.com/subject/11026735/,超能陆战队 Big Hero 6,2014,唐·霍尔,102,美国,英语,8.6,497405,618196,38607,113733,745
132,https://movie.douban.com/subject/1306249/,唐伯虎点秋香 唐伯虎點秋香,1993,李力持,102 ,香港,粤语,8.5,469659,730967,12877,42347,235
133,https://movie.douban.com/subject/1417598/,电锯惊魂 Saw,2004,温子仁,103,美国,英语,8.7,254432,341006,44745,44677,505
134,https://movie.douban.com/subject/1292401/,真爱至上 Love Actually,2003,理查德·柯蒂斯,135 ,英国 / 美国 / 法国,英语 / 葡萄牙语 / 法语,8.5,398571,512546,134463,95860,1519
135,https://movie.douban.com/subject/3395373/,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,2012,克里斯托弗·诺兰,165,美国 / 英国,英语 / 阿拉伯语,8.7,372711,517401,52834,87020,1815
136,https://movie.douban.com/subject/1578507/,谍影重重3 The Bourne Ultimatum,2007,保罗·格林格拉斯,115,美国 / 德国,英语 / 法语 / 阿拉伯语 / 俄语 / 西班牙语,8.7,230655,327159,45354,27908,385
137,https://movie.douban.com/subject/1907966/,疯狂原始人 The Croods,2013,柯克·德·米科,98,美国,英语,8.7,469470,662527,73950,104674,907
138,https://movie.douban.com/subject/1293318/,萤火虫之墓 火垂るの墓,1988,高畑勋,89 ,日本,日语,8.7,250108,336443,71441,47402,1333
139,https://movie.douban.com/subject/1303037/,喜宴 囍宴,1993,李安,108,台湾 / 美国,汉语普通话 / 英语,8.9,177291,226159,80851,37644,799
140,https://movie.douban.com/subject/1292328/,东邪西毒 東邪西毒,1994,王家卫,100,香港 / 台湾,粤语 / 汉语普通话,8.6,325636,547382,97326,48165,1682
141,https://movie.douban.com/subject/2209573/,贫民窟的百万富翁 Slumdog Millionaire,2008,丹尼·博伊尔,120 ,英国 / 美国,英语 / 印地语 / 法语,8.5,465698,647531,71031,58617,2608
142,https://movie.douban.com/subject/1978709/,黑天鹅 Black Swan,2010,达伦·阿伦诺夫斯基,108,美国,英语 / 法语 / 意大利语,8.5,507540,682356,109287,115393,2263
143,https://movie.douban.com/subject/1304447/,记忆碎片 Memento,2000,克里斯托弗·诺兰,113,美国,英语,8.6,344405,478227,144583,68820,1268
144,https://movie.douban.com/subject/1297574/,英雄本色,1986,吴宇森,95,香港,粤语 / 汉语普通话 / 英语,8.6,239439,413950,59361,34613,542
145,https://movie.douban.com/subject/1292337/,无人知晓 誰も知らない,2004,是枝裕和,141,日本,日语,9.1,106675,140558,128308,32281,771
146,https://movie.douban.com/subject/25917973/,心迷宫,2014,忻钰坤,110分钟(中国大,中国大陆,汉语普通话,8.7,245193,313305,124117,66776,1085
147,https://movie.douban.com/subject/1418200/,傲慢与偏见 Pride & Prejudice,2005,乔·赖特,129 ,法国 / 英国 / 美国,英语,8.5,385333,557314,93582,77565,1516
148,https://movie.douban.com/subject/1291870/,雨人 Rain Man,1988,巴瑞·莱文森,133,美国,英语 / 意大利语,8.7,247797,342018,110658,35607,632
149,https://movie.douban.com/subject/26325320/,血战钢锯岭 Hacksaw Ridge,2016,梅尔·吉布森,139分钟(中国大,美国 / 澳大利亚,英语,8.7,421777,647162,79397,118060,3920
150,https://movie.douban.com/subject/24750126/,荒蛮故事 Relatos salvajes,2014,达米安·斯兹弗隆,122,阿根廷 / 西班牙,西班牙语,8.8,196014,243152,110471,52946,715
151,https://movie.douban.com/subject/10577869/,时空恋旅人 About Time,2013,理查德·柯蒂斯,123,英国,英语,8.7,267562,347590,114171,71512,1354
152,https://movie.douban.com/subject/1295409/,纵横四海 緃横四海,1991,吴宇森,108,香港,粤语 / 汉语普通话 / 客家话 / 英语 / 法语,8.7,199252,313374,51693,32071,307
153,https://movie.douban.com/subject/1291822/,卢旺达饭店 Hotel Rwanda,2004,特瑞·乔治,121,英国 / 南非 / 意大利 / 美国,英语 / 法语,8.9,148849,217010,120341,25816,686
154,https://movie.douban.com/subject/1294240/,教父3 The Godfather: Part III,1990,弗朗西斯·福特·科波拉,170,美国,英语 / 意大利语 / 德语 / 拉丁语,8.8,170126,249517,53929,18602,316
155,https://movie.douban.com/subject/1858711/,玩具总动员3 Toy Story 3,2010,李·昂克里奇,103,美国,英语 / 西班牙语,8.8,241735,353753,69285,44624,997
156,https://movie.douban.com/subject/1793929/,达拉斯买家俱乐部 Dallas Buyers Club,2013,让-马克·瓦雷,117,美国,英语 / 日语,8.7,239561,329470,125925,51477,629
157,https://movie.douban.com/subject/25980443/,海边的曼彻斯特 Manchester by the Sea,2016,肯尼思·洛纳根,137,美国,英语,8.6,266522,336353,156374,88097,2840
158,https://movie.douban.com/subject/1291557/,花样年华 花樣年華,2000,王家卫,98 ,香港,粤语 / 上海话 / 法语,8.6,306979,437711,80300,59312,1448
159,https://movie.douban.com/subject/1300992/,完美的世界 A Perfect World,1993,克林特·伊斯特伍德,138,美国,英语,9.0,106442,130010,107176,24707,615
